Name,Current_price,Initial_price,Discount,Items_remaining,Stars
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 699,"KSh 1,300",46%,4.3 out of 5(5186),4.3 out of 5
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 699,"KSh 1,280",45%,4.6 out of 5(1556),4.6 out of 5
Fashion 6Pcs Soft Cotton Checked Men's Boxers – Multicolor,KSh 501,KSh 618,19%,3.6 out of 5(2920),3.6 out of 5
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 18,999","KSh 28,599",34%,3.9 out of 5(1767),3.9 out of 5
Garnier Vitamin C Booster Serum 30ml Twin Pack,"KSh 1,750","KSh 3,500",50%,4.5 out of 5(787),4.5 out of 5
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,080","KSh 1,800",40%,4.3 out of 5(3550),4.3 out of 5
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,KSh 874,"KSh 1,345",35%,4.4 out of 5(5775),4.4 out of 5
Nunix Hair Red Blow Dryer With Beauty Accessories HD-01,KSh 854, , ,3.5 out of 5(310),3.5 out of 5
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,KSh 864,"KSh 1,599",46%,3.9 out of 5(635),3.9 out of 5
Garnier Charcoal Serum With AHA+BHA 30ml Twin Pack,"KSh 1,399","KSh 3,700",62%,4.4 out of 5(442),4.4 out of 5
"Vitron V527 - 2.1 CH Multimedia Speaker, BT/USB/SD/FM - 9000W (1YR WRTY)","KSh 5,199","KSh 7,599",32%,4 out of 5(1518),4 out of 5
"Rashnik 16"" 2 Layer Stainless Dish Drainer (RN-1605)",KSh 949,KSh 960,1%,4 out of 5(86),4 out of 5
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black(1YR WRTY)","KSh 12,599","KSh 15,000",16%,4.4 out of 5(176),4.4 out of 5
128GB Metal Usb Flash Drive  3D Embossment,KSh 624,"KSh 1,044",40%,3.5 out of 5(951),3.5 out of 5
Nunix 5 Layer Shoe Rack – black,KSh 456, , ,3.6 out of 5(114),3.6 out of 5
STY 4pcs Ladies Handbags Women Shoulder Tote Bags Set PU Leather-Black,KSh 785,"KSh 1,402",44%,3.5 out of 5(2000),3.5 out of 5
Rashnik Double Electric Coil Hot Plate,KSh 990, , ,3.9 out of 5(35),3.9 out of 5
"Vision Plus 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,999","KSh 15,995",37%,4 out of 5(636),4 out of 5
Fashion Men Leather Loafers & Slip-Ons,KSh 745,"KSh 1,549",52%,3.3 out of 5(469),3.3 out of 5
"NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2) + Pearl & Beauty Anti-Perspirant Rollon For Women, 48h - 50ml",KSh 999,"KSh 1,460",32%,4.5 out of 5(701),4.5 out of 5
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 357,KSh 700,49%,4.4 out of 5(565),4.4 out of 5
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-48,KSh 959,"KSh 1,880",49%,4.1 out of 5(218),4.1 out of 5
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,KSh 477,KSh 935,49%,3.8 out of 5(1201),3.8 out of 5
"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven","KSh 17,599","KSh 18,480",5%,3.9 out of 5(103),3.9 out of 5
RichRipple Aluminum Alloy Portable Laptop Stand Adjustable Height Foldable Computer Stand,KSh 453,KSh 888,49%,4.5 out of 5(257),4.5 out of 5
Roch RFR-120S-I Single Door Refrigerator - 90 Litres - Silver (1Y WRTY) (1YR WRTY),"KSh 16,999","KSh 23,000",26%,4.1 out of 5(426),4.1 out of 5
"TCL 55"" P635 4K HDR Google TV - Black","KSh 46,299","KSh 61,999",25%,4.7 out of 5(41),4.7 out of 5
Gilbey's Gilbey's Gilbeys Gin - 750 ML,"KSh 1,199","KSh 1,550",23%,4.3 out of 5(90),4.3 out of 5
William Lawson's William Lawson's Scotch Whisky – 750ml,"KSh 1,199","KSh 1,990",40%,4.5 out of 5(53),4.5 out of 5
Fashion Navy Blue/White/Red 3-Pack Round Neck Heavy Duty 180 GSM T-shirts,KSh 749,"KSh 1,199",38%,3.4 out of 5(28),3.4 out of 5
Fashion Men Shoes Loafers Casual Shoes Slip-On Shoes Business Shoes,KSh 682,"KSh 1,156",41%,3.6 out of 5(228),3.6 out of 5
Plain Finest Denim Slim Fit Black Jeans+FREE BELT.,KSh 799 - KSh 999,"KSh 1,566",49%,3.9 out of 5(25),3.9 out of 5
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 392,KSh 782,50%,4 out of 5(820),4 out of 5
"STY 15.6"" Laptop Bag Men Backpack Business Backpacks With USB Charging Jack Rucksack",KSh 785,"KSh 1,299",40%,3.2 out of 5(36),3.2 out of 5
2PCs Sexy Strappy Ice Silk Seamless Ladies Panties,KSh 450,KSh 699,36%,4.2 out of 5(125),4.2 out of 5
Hikers KE-MOW20LM-Microwave Oven – 20 Litres –700W- BLACK,"KSh 6,369","KSh 10,528",40%,4.4 out of 5(179),4.4 out of 5
Fashion 3 Pieces Of Adjustable Baseball Cap - Multicolour+free Gift,KSh 523,KSh 740,29%,3.9 out of 5(1133),3.9 out of 5
Machislet Fashion High Quality Elegant Clothes Printed Dress Halter For Summer,KSh 688,"KSh 1,349",49%,4.4 out of 5(30),4.4 out of 5
Fashion Men's Long Sleeve Striped Shirt,KSh 580,"KSh 1,137",49%,4 out of 5(90),4 out of 5
Fashion Men's Electronic Wrist Watch - Black,KSh 379,KSh 743,49%,3.9 out of 5(9),3.9 out of 5
Ranee Biryani - 5 Kg,"KSh 1,049","KSh 1,450",28%,4.3 out of 5(55),4.3 out of 5
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,999","KSh 3,736",20%,4.6 out of 5(284),4.6 out of 5
Captain Morgan Captain Morgan Gold Rum - 750ml,KSh 999,"KSh 1,150",13%,4.8 out of 5(33),4.8 out of 5
Adidas Adilette Aqua Slides Unisex,"KSh 1,999","KSh 4,600",57%,4.3 out of 5(77),4.3 out of 5
Jacob's Creek Jacob's Creek Classic Merlot 750Ml,"KSh 1,299","KSh 1,439",10%,4.5 out of 5(45),4.5 out of 5
Fashion Hard Khaki Trouser Pants -Brown,KSh 676 - KSh 749,"KSh 1,049 - KSh 1,299",42%,3.7 out of 5(3),3.7 out of 5
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black","KSh 24,999","KSh 39,999",38%,4.5 out of 5(191),4.5 out of 5
Binatone SI-1850 Smoother Gliding Steam Iron - 1800W - White/Purple,"KSh 1,329","KSh 1,959",32%,4.6 out of 5(51),4.6 out of 5
Vitron HTC5568US - 55?4K Smart Android LED TV - Black (1YR WRTY),"KSh 41,960","KSh 49,500",15%,4.1 out of 5(39),4.1 out of 5
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,022","KSh 1,460",30%,4.4 out of 5(1952),4.4 out of 5
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 11,750","KSh 15,000",22%,4.1 out of 5(234),4.1 out of 5
Garnier Day & Night Vitamin C Serum Routine Pack,"KSh 2,550","KSh 4,250",40%,4.4 out of 5(785),4.4 out of 5
TAGWOOD LS-421H 2.1CH 6000W PMPO Subwoofer Speaker System BLUETOOTH/FM/SB/USB - Black (1YR WRTY),"KSh 2,799","KSh 4,199",33%,3.9 out of 5(71),3.9 out of 5
"Amtec 43L12, 43"" FHD Smart Android TV, Netfix, Youtube, Bluetooth - Black (1 YR WRTY)","KSh 19,350","KSh 28,000",31%,4.1 out of 5(241),4.1 out of 5
Hisense HS2100 - 2.1CH Soundbar With Wireless Subwoofer 240W (2YRs WRTY),"KSh 15,800","KSh 23,000",31%,4.3 out of 5(179),4.3 out of 5
"Skyworth 50G3A, 50&Prime; 4K UHD Frameless Smart Android TV &ndash; Black (1YR WRTY)","KSh 37,999","KSh 55,999",32%,4.5 out of 5(118),4.5 out of 5
AILYONS HD-199A Electric Dry Iron Box Silver & Black (1YR WRTY),KSh 849,"KSh 1,399",39%,3.8 out of 5(2028),3.8 out of 5
Garnier Even & Matte Vitamin C Sunscreen SPF30 50ml,KSh 813,"KSh 1,250",35%,4.2 out of 5(2261),4.2 out of 5
AILYONS HD-198A Electric Dry Iron Box White & Blue,KSh 759,"KSh 1,299",42%,3.8 out of 5(1875),3.8 out of 5
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,"KSh 1,170","KSh 1,750",33%,4.3 out of 5(5292),4.3 out of 5
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 7,999","KSh 10,000",20%,4.2 out of 5(211),4.2 out of 5
STY 15.6 Inch Men Laptop Bags Backpack With External USB Port School Bag - Black,KSh 687,"KSh 1,347",49%,3.4 out of 5(1427),3.4 out of 5
Garnier Even & Matte Vitamin C Cleansing Foam,KSh 415,KSh 825,50%,4.4 out of 5(2671),4.4 out of 5
AILYONS AFK-112 Water Dispenser Hot Cold And Normal With Storage Cabinet (1YR WRTY),"KSh 5,999","KSh 8,499",29%,4 out of 5(956),4 out of 5
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,"KSh 1,388","KSh 1,850",25%,4.2 out of 5(2682),4.2 out of 5
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),"KSh 1,499","KSh 2,399",38%,3.9 out of 5(227),3.9 out of 5
Fashion Mens Sneakers Shoes Sports Shoes Breathable Running Shoes,KSh 782 - KSh 850,"KSh 1,190 - KSh 2,000",58%,3.8 out of 5(258),3.8 out of 5
